,Address,latitude,longitude
0,"1100 Spruce St Boulder, Colorado, 80302",40.0184916,-105.2814654
1,"1100 Walnut Boulder, Colorado, 80302",40.016553,-105.280755
2,"1275 Alpine Ave Boulder, Colorado, 80304",40.025998,-105.28077983562443
3,"1360 Gillaspie Dr Boulder, Colorado, 80305",39.9746767,-105.24860019491746
4,"1400 Walnut St Boulder, Colorado, 80302",40.017375,-105.276843
5,"1500 Pearl St Boulder, Colorado, 80302",40.0185267,-105.27527704608906
6,"1505 30th St Boulder, Colorado, 80303",40.01158700201286,-105.25363322344494
7,"1739 Broadway Boulder, Colorado, 80302",40.01449495,-105.27920687616108
8,"1745 14th street Boulder, Colorado, 80302",40.0149761632653,-105.27630871428572
9,"1770 13th St Boulder, Colorado, 80302",40.01542785,-105.27722226982817
10,"2052 Junction Pl Boulder, Colorado, 80301",40.025271,-105.251141
11,"2150 13th St Boulder, Colorado, 80302",40.019709285714285,-105.27908022448979
12,"2240 Broadway Boulder, Colorado, 80302",40.02036832653061,-105.28071048979592
13,"2280 Junction Pl Boulder, Colorado, 80301",40.02420535,-105.25180781449308
14,"2667 Broadway Boulder, Colorado, 80304",40.02512946938775,-105.28215979591837
15,"3172 Broadway Boulder, Colorado, 80304",40.03255320225263,-105.28196401729268
16,"3335 Airport Rd Boulder, Colorado, 80301",40.03564581632653,-105.23287624489797
17,"5050 Pearl St Boulder, Colorado, 80301",40.02586324352315,-105.2351982189183
18,"5565 51st St Boulder, Colorado, 80301",40.073964456800596,-105.23701868627626
19,"5660 Sioux Dr Boulder, Colorado, 80303",39.99307893645485,-105.23011325418061
20,"600 Baseline Rd Boulder, Colorado, 80302",39.999979,-105.286486
21,"7315 Red Deer Dr Boulder, Colorado, 80301",40.02331279811916,-105.18296012590484
22,"900 Baseline Rd Boulder, Colorado, 80302",39.99752665,-105.28098955
23,"900 Walnut St Boulder, Colorado, 80302",40.0160435,-105.2825479
